"Part;""Value"";""Device"";""Package"";""Description"";""DESCRIPTION"";""HEIGHT"";""MANUFACTURER_NAME"";""MANUFACTURER_PART_NUMBER"";""POPULARITY"";""RS_PART_NUMBER"";""RS_PRICE-STOCK"";""SPICEPREFIX"";",,,,,,,,
"SW2;""B2B-XH-A_LF__SN_"";""B2B-XH-A_LF__SN_"";""SHDR2W64P0X250_1X2_740X575X700"";""JST XH Series", 2.5mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination," 3A"";""JST XH Series", 2.5mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination," 3A"";""7mm"";""JST (JAPAN SOLDERLESS TERMINALS)"";""B2B-XH-A(LF)(SN)"";"""";""8201554P"";""http://uk.rs-online.com/web/p/products/8201554P"";"""";",,
"SW3;""B2B-XH-A_LF__SN_"";""B2B-XH-A_LF__SN_"";""SHDR2W64P0X250_1X2_740X575X700"";""JST XH Series", 2.5mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination," 3A"";""JST XH Series", 2.5mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination," 3A"";""7mm"";""JST (JAPAN SOLDERLESS TERMINALS)"";""B2B-XH-A(LF)(SN)"";"""";""8201554P"";""http://uk.rs-online.com/web/p/products/8201554P"";"""";",,
"SW4;""B2B-XH-A_LF__SN_"";""B2B-XH-A_LF__SN_"";""SHDR2W64P0X250_1X2_740X575X700"";""JST XH Series", 2.5mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination," 3A"";""JST XH Series", 2.5mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination," 3A"";""7mm"";""JST (JAPAN SOLDERLESS TERMINALS)"";""B2B-XH-A(LF)(SN)"";"""";""8201554P"";""http://uk.rs-online.com/web/p/products/8201554P"";"""";",,
"SW5;""B2B-XH-A_LF__SN_"";""B2B-XH-A_LF__SN_"";""SHDR2W64P0X250_1X2_740X575X700"";""JST XH Series", 2.5mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination," 3A"";""JST XH Series", 2.5mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination," 3A"";""7mm"";""JST (JAPAN SOLDERLESS TERMINALS)"";""B2B-XH-A(LF)(SN)"";"""";""8201554P"";""http://uk.rs-online.com/web/p/products/8201554P"";"""";",,
"SW6;""B2B-XH-A_LF__SN_"";""B2B-XH-A_LF__SN_"";""SHDR2W64P0X250_1X2_740X575X700"";""JST XH Series", 2.5mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination," 3A"";""JST XH Series", 2.5mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination," 3A"";""7mm"";""JST (JAPAN SOLDERLESS TERMINALS)"";""B2B-XH-A(LF)(SN)"";"""";""8201554P"";""http://uk.rs-online.com/web/p/products/8201554P"";"""";",,
"SW7;""B2B-XH-A_LF__SN_"";""B2B-XH-A_LF__SN_"";""SHDR2W64P0X250_1X2_740X575X700"";""JST XH Series", 2.5mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination," 3A"";""JST XH Series", 2.5mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination," 3A"";""7mm"";""JST (JAPAN SOLDERLESS TERMINALS)"";""B2B-XH-A(LF)(SN)"";"""";""8201554P"";""http://uk.rs-online.com/web/p/products/8201554P"";"""";",,
"TX;"""";""LEDCHIP-LED0603"";""CHIP-LED0603"";""LED"";"""";"""";"""";"""";""26"";"""";"""";"""";",,,,,,,,
"U$1;""BP5293-33"";""BP5293-33"";""DC/DC_REGULATOR_3P"";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,,,
"U$2;""MCP2562MCP2561-SN"";""MCP2562MCP2561-SN"";""SOIC8"";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,,,
"U$3;""BOX14P"";""BOX14P"";""CON_HEDA14P_1.27"";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,,,
